station_id,state,district,water_body_type,year,month,temperature,pH,dissolved_oxygen,conductivity,turbidity,bod,nitrate,fecal_coliform,water_quality_class,water_status,risk_score
STN_1637,Tamil Nadu,Dindigul,Lake,2023,10,16.88,6.72,8.45,555.95,6.47,4.33,42.82,1998,Moderate,Polluted,6
STN_1638,Tamil Nadu,Thanjavur,Groundwater,2022,5,28.82,7.61,7.53,1314.56,16.34,1.9,5.49,1990,Safe,Moderate,4
STN_1639,Rajasthan,Sikar,Groundwater,2022,11,24.2,8.61,7.42,577.22,19.14,6.81,42.22,1344,Polluted,Polluted,8
STN_1640,Tamil Nadu,Cuddalore,River,2021,1,33.39,7.37,5.43,1415.67,18.09,9.38,42.28,1989,Polluted,Polluted,6
STN_1641,Maharashtra,Nagpur,Lake,2021,4,19.61,8.05,4.68,844.08,5.8,2.8,15.3,113,Moderate,Polluted,6
STN_1642,Bihar,Nalanda,Groundwater,2022,1,28.86,7.24,8.89,379.17,7.75,2.5,2.06,723,Safe,Moderate,4
STN_1643,Uttar Pradesh,Ghaziabad,River,2021,8,15.55,7.81,5.54,1440.9,6.24,5.95,20.86,10,Moderate,Moderate,3
STN_1644,Tamil Nadu,Chennai,River,2020,12,17.11,7.0,7.07,581.39,19.11,3.76,37.6,37,Moderate,Moderate,3
STN_1645,West Bengal,Birbhum,Groundwater,2022,12,21.45,8.49,5.33,1393.42,14.65,2.12,40.08,560,Safe,Moderate,4
STN_1646,Karnataka,Ballari,Lake,2021,3,26.82,6.78,8.45,1432.21,13.52,10.0,41.74,1089,Polluted,Polluted,6
STN_1647,Telangana,Nizamabad,River,2020,4,21.71,6.61,6.58,1201.53,17.43,2.18,28.84,1904,Safe,Moderate,4
STN_1648,Rajasthan,Chittorgarh,River,2019,1,16.35,8.52,5.56,350.31,9.13,5.32,1.32,709,Moderate,Polluted,8
STN_1649,Maharashtra,Nashik,Lake,2019,9,34.78,7.29,4.36,1403.82,4.11,8.81,17.78,1203,Polluted,Polluted,7
STN_1650,Uttar Pradesh,Noida,Groundwater,2022,10,24.4,8.69,5.93,223.0,17.38,3.25,34.11,1623,Moderate,Polluted,8
STN_1651,Karnataka,Belagavi,Lake,2019,9,25.59,7.22,8.96,1205.5,9.76,5.72,20.32,78,Moderate,Moderate,3
STN_1652,West Bengal,Malda,Groundwater,2023,7,15.63,8.55,8.28,498.37,5.92,7.09,9.47,1437,Polluted,Polluted,8
STN_1653,Bihar,Bhagalpur,River,2022,10,25.45,6.88,5.09,1106.14,14.17,5.54,23.15,581,Moderate,Polluted,6
STN_1654,Uttar Pradesh,Gorakhpur,Groundwater,2020,8,20.18,8.51,7.97,902.24,3.95,8.51,20.38,134,Polluted,Polluted,7
STN_1655,Telangana,Adilabad,River,2021,5,26.92,8.69,5.68,1447.29,1.7,5.79,44.6,1477,Moderate,Polluted,7
STN_1656,Telangana,Khammam,River,2022,11,24.52,7.89,3.57,346.69,16.02,4.17,19.75,241,Moderate,Polluted,8
STN_1657,Rajasthan,Bhilwara,River,2022,3,24.99,7.7,8.85,1454.72,8.55,9.77,12.55,578,Polluted,Polluted,6
STN_1658,Tamil Nadu,Coimbatore,Lake,2021,4,21.69,6.75,6.5,700.07,15.52,2.51,27.21,1827,Safe,Moderate,4
STN_1659,Uttar Pradesh,Bareilly,Groundwater,2021,8,20.66,6.98,5.58,1028.3,8.35,2.41,25.23,1934,Safe,Moderate,4
STN_1660,Madhya Pradesh,Rewa,Lake,2023,6,16.81,7.08,6.78,1102.93,2.15,9.89,29.8,1908,Polluted,Moderate,5
STN_1661,West Bengal,Jalpaiguri,Lake,2020,2,25.2,6.93,7.91,1429.71,16.62,3.04,39.7,58,Moderate,Moderate,3
STN_1662,West Bengal,Darjeeling,Lake,2019,2,25.28,7.04,7.24,1354.54,4.14,2.49,8.67,581,Safe,Moderate,3
STN_1663,Karnataka,Dharwad,River,2019,9,34.54,6.98,4.98,711.42,13.04,4.9,36.5,656,Moderate,Polluted,8
STN_1664,Andhra Pradesh,East Godavari,River,2020,9,19.69,8.25,8.76,481.52,1.19,4.87,9.21,1799,Moderate,Moderate,5
STN_1665,Maharashtra,Thane,River,2022,7,28.67,7.06,7.84,1128.59,14.51,4.39,33.48,32,Moderate,Moderate,3
STN_1666,Andhra Pradesh,West Godavari,Lake,2020,10,29.7,7.99,7.51,626.11,18.75,2.44,39.89,578,Safe,Moderate,4
STN_1667,Karnataka,Bengaluru Urban,Lake,2022,5,33.51,8.68,5.24,408.28,16.31,6.25,41.4,1888,Polluted,Polluted,8
STN_1668,Karnataka,Bengaluru Rural,Groundwater,2021,11,28.13,7.47,3.97,1098.69,4.57,5.13,1.58,847,Moderate,Polluted,7
STN_1669,Rajasthan,Pali,Groundwater,2022,6,32.14,8.56,8.56,1053.55,8.52,6.61,10.92,1617,Polluted,Polluted,8
STN_1670,Tamil Nadu,Madurai,Lake,2022,7,20.16,7.78,8.1,1384.93,8.81,5.93,12.55,1535,Moderate,Polluted,6
STN_1671,Telangana,Mahabubnagar,Groundwater,2019,10,31.7,6.71,4.89,1336.58,17.64,4.77,3.68,1851,Moderate,Polluted,8
STN_1672,Rajasthan,Jaipur,Groundwater,2022,3,29.53,7.76,5.77,727.35,6.91,2.07,17.72,1481,Safe,Moderate,4
STN_1673,Maharashtra,Aurangabad,Groundwater,2020,8,27.09,7.0,3.57,1335.13,9.16,2.99,27.46,1057,Moderate,Polluted,6
STN_1674,Madhya Pradesh,Satna,Groundwater,2023,7,34.54,7.44,3.79,693.07,9.32,7.8,42.36,526,Polluted,Polluted,8
STN_1675,Uttar Pradesh,Aligarh,River,2019,10,16.15,8.57,8.99,216.6,18.38,9.81,41.39,637,Polluted,Polluted,8
STN_1676,Rajasthan,Jodhpur,Groundwater,2023,2,24.75,8.47,7.18,593.97,18.63,9.11,3.17,1158,Polluted,Polluted,6
STN_1677,Uttar Pradesh,Lucknow,Lake,2021,8,25.72,8.16,3.66,620.58,2.39,8.83,26.93,1381,Polluted,Polluted,7
STN_1678,Tamil Nadu,Tiruchirappalli,River,2021,11,22.59,7.27,5.74,1242.94,12.98,1.77,39.89,599,Safe,Moderate,4
STN_1679,Maharashtra,Solapur,Lake,2020,12,29.56,7.88,4.03,446.44,10.23,1.57,42.02,993,Moderate,Polluted,6
STN_1680,Andhra Pradesh,Krishna,Groundwater,2023,10,20.48,6.5,7.02,1243.59,4.75,9.05,8.99,1352,Polluted,Moderate,5
STN_1681,Rajasthan,Udaipur,Lake,2023,7,18.72,6.69,4.47,935.44,15.74,7.63,29.24,1803,Polluted,Polluted,8
STN_1682,Tamil Nadu,Salem,Groundwater,2019,6,17.7,8.79,6.45,674.28,17.56,5.89,30.81,1163,Moderate,Polluted,8
STN_1683,Tamil Nadu,Erode,River,2023,11,15.01,8.68,3.64,1168.38,19.44,2.67,44.93,664,Moderate,Polluted,8
STN_1684,Telangana,Hyderabad,Lake,2022,3,29.45,8.1,6.49,969.42,1.17,8.46,17.59,1446,Polluted,Moderate,5
STN_1685,West Bengal,Kolkata,River,2023,2,25.98,7.06,3.92,1038.25,19.27,7.39,42.51,1157,Polluted,Polluted,8
STN_1686,Tamil Nadu,Tirunelveli,Lake,2019,9,27.09,8.1,4.29,348.32,14.07,9.1,5.96,81,Polluted,Moderate,5
STN_1687,West Bengal,Howrah,Lake,2022,9,18.88,7.57,6.38,1174.8,1.34,2.24,39.63,531,Safe,Moderate,3
STN_1688,Bihar,Muzaffarpur,Groundwater,2020,2,18.88,6.51,3.6,463.36,10.06,8.8,27.14,440,Polluted,Polluted,8
STN_1689,Maharashtra,Kolhapur,River,2021,3,18.03,8.04,6.51,893.04,13.48,6.7,6.76,592,Polluted,Polluted,6
STN_1690,Telangana,Rangareddy,Lake,2020,11,31.87,7.97,7.16,538.98,16.87,7.32,19.85,41,Polluted,Moderate,3
STN_1691,Telangana,Medchal–Malkajgiri,Lake,2022,12,24.44,7.6,7.96,833.4,2.14,2.88,36.62,1983,Safe,Moderate,3
STN_1692,West Bengal,Hooghly,Groundwater,2021,4,27.04,8.45,3.72,705.36,11.1,4.24,35.86,811,Moderate,Polluted,8
STN_1693,Rajasthan,Kota,River,2023,1,24.94,8.37,5.5,256.73,7.18,6.63,36.7,1538,Polluted,Polluted,6
STN_1694,Uttar Pradesh,Kanpur Nagar,River,2021,3,18.55,7.43,7.14,1439.23,16.71,8.08,2.48,1561,Polluted,Polluted,6
STN_1695,Tamil Nadu,Thoothukudi,Groundwater,2019,1,15.97,7.99,7.28,1336.68,1.79,5.27,27.29,1880,Moderate,Moderate,5
STN_1696,Madhya Pradesh,Chhindwara,Groundwater,2022,10,28.4,7.43,3.07,1482.11,6.04,7.2,1.15,1900,Polluted,Polluted,8
STN_1697,West Bengal,North 24 Parganas,Groundwater,2022,8,33.04,6.67,6.72,1430.43,13.29,5.98,12.3,1472,Moderate,Polluted,6
STN_1698,Maharashtra,Amravati,River,2019,8,30.01,6.64,3.27,510.29,4.34,8.4,44.93,1866,Polluted,Polluted,7
STN_1699,West Bengal,South 24 Parganas,River,2019,2,21.34,7.43,5.02,718.79,10.75,8.09,7.2,949,Polluted,Polluted,6
STN_1700,West Bengal,Nadia,River,2022,1,22.57,6.92,4.47,851.88,19.54,5.33,18.37,911,Moderate,Polluted,8
STN_1701,Maharashtra,Satara,River,2022,6,24.06,6.76,4.3,1133.33,19.77,9.35,9.14,1058,Polluted,Polluted,8
STN_1702,Maharashtra,Jalgaon,Lake,2022,7,19.11,6.98,6.22,1471.57,18.78,1.47,3.67,1121,Safe,Moderate,4
STN_1703,Uttar Pradesh,Kanpur Dehat,Lake,2022,12,16.16,8.07,4.98,808.35,1.54,1.46,26.71,1474,Moderate,Moderate,5
STN_1704,Bihar,Darbhanga,River,2020,12,30.44,8.32,8.93,688.44,16.47,8.5,37.51,930,Polluted,Polluted,6
STN_1705,Andhra Pradesh,Guntur,River,2019,2,16.47,6.82,5.69,1253.91,9.47,9.2,21.67,1255,Polluted,Polluted,6
STN_1706,Rajasthan,Ajmer,River,2020,9,17.11,6.54,8.63,305.37,4.05,4.42,24.75,844,Moderate,Moderate,5
STN_1707,Madhya Pradesh,Khandwa,Lake,2021,1,22.38,7.39,3.79,387.04,16.34,9.47,20.58,148,Polluted,Polluted,8
STN_1708,Tamil Nadu,Vellore,River,2022,4,24.04,6.78,8.47,1270.25,7.46,6.26,9.83,525,Polluted,Polluted,6
STN_1709,Maharashtra,Mumbai City,Lake,2019,8,24.44,8.72,4.25,558.4,15.46,2.65,9.79,606,Moderate,Polluted,8
STN_1710,Tamil Nadu,Dindigul,Lake,2022,3,20.27,7.12,7.16,705.33,11.98,1.28,33.13,1864,Safe,Moderate,4
STN_1711,Bihar,Purnia,River,2019,4,17.49,8.07,8.78,1355.38,8.48,8.78,14.9,890,Polluted,Polluted,6
STN_1712,Uttar Pradesh,Varanasi,Lake,2021,9,19.59,8.25,4.9,1459.83,4.07,9.44,27.34,76,Polluted,Moderate,4
STN_1713,Madhya Pradesh,Ratlam,Groundwater,2021,4,31.18,7.25,5.35,1252.97,8.22,8.03,13.93,530,Polluted,Polluted,6
STN_1714,Maharashtra,Mumbai Suburban,Lake,2021,12,34.07,7.21,6.02,391.47,8.5,4.26,34.58,249,Moderate,Polluted,6
STN_1715,Karnataka,Mysuru,River,2023,5,21.11,7.84,8.55,855.3,4.76,9.8,12.39,1644,Polluted,Moderate,5
STN_1716,Telangana,Warangal,River,2019,11,32.17,6.61,5.38,1344.63,10.92,2.59,42.74,1890,Safe,Moderate,4
STN_1717,West Bengal,Murshidabad,Lake,2019,4,27.94,7.54,5.44,1469.05,11.55,3.39,31.43,1734,Moderate,Polluted,6
STN_1718,Andhra Pradesh,Palnadu,Groundwater,2021,1,32.82,7.78,3.39,285.23,13.15,5.7,17.07,1585,Moderate,Polluted,8
STN_1719,Madhya Pradesh,Dewas,Lake,2021,2,31.22,7.24,6.43,845.72,12.0,9.24,31.1,926,Polluted,Polluted,6
STN_1720,Bihar,Araria,Groundwater,2021,3,26.57,7.55,4.52,971.56,3.03,9.24,36.83,36,Polluted,Moderate,4
STN_1721,Bihar,Begusarai,Groundwater,2021,10,16.47,8.36,7.26,623.72,13.88,9.56,22.95,260,Polluted,Polluted,6
STN_1722,Andhra Pradesh,Bapatla,Groundwater,2021,10,29.87,7.7,4.47,355.02,1.37,7.12,32.51,375,Polluted,Polluted,7
STN_1723,Maharashtra,Pune,Lake,2021,6,31.05,6.51,6.32,1144.81,13.53,1.13,33.29,1058,Safe,Moderate,4
STN_1724,Rajasthan,Bikaner,Groundwater,2022,4,23.03,6.68,7.48,1084.12,18.21,1.29,21.76,623,Safe,Moderate,4
STN_1725,West Bengal,Bardhaman,Groundwater,2021,7,29.55,8.25,6.22,1068.9,19.74,4.19,30.1,1703,Moderate,Polluted,6
STN_1726,Maharashtra,Nagpur,River,2019,4,29.95,6.94,6.69,793.14,18.13,8.19,20.02,116,Polluted,Polluted,6
STN_1727,Tamil Nadu,Thanjavur,Groundwater,2019,12,33.89,8.78,7.88,208.46,8.72,1.1,13.09,567,Moderate,Polluted,6
STN_1728,Madhya Pradesh,Bhopal,Lake,2022,11,22.01,7.83,6.35,621.91,15.94,1.97,9.82,380,Safe,Moderate,4
STN_1729,Andhra Pradesh,Prakasam,Lake,2021,2,19.3,8.76,6.91,1374.32,7.86,4.21,7.16,218,Moderate,Polluted,8
STN_1730,Uttar Pradesh,Prayagraj,Lake,2020,1,33.57,8.73,8.95,1065.65,13.19,9.54,14.83,398,Polluted,Polluted,8
STN_1731,Madhya Pradesh,Indore,Lake,2022,11,33.64,7.65,7.22,1184.41,10.73,4.88,22.54,754,Moderate,Polluted,6
STN_1732,West Bengal,Birbhum,River,2022,7,15.13,7.15,6.2,588.45,5.15,1.06,40.14,1917,Safe,Moderate,4
STN_1733,Telangana,Hanamkonda,Groundwater,2021,10,22.76,7.34,4.45,888.47,18.43,5.18,19.16,1049,Moderate,Polluted,8
STN_1734,Andhra Pradesh,Nellore,River,2020,12,15.63,7.19,7.8,811.89,4.0,9.54,13.27,574,Polluted,Moderate,5
STN_1735,Madhya Pradesh,Jabalpur,Groundwater,2023,2,20.3,8.0,9.0,466.48,1.86,6.99,14.27,77,Polluted,Safe,2
STN_1736,Karnataka,Mandya,Groundwater,2020,6,25.83,7.56,5.14,936.09,10.94,7.25,20.57,1753,Polluted,Polluted,6
STN_1737,Maharashtra,Nashik,Lake,2021,8,15.1,7.23,3.41,1101.61,11.91,6.55,21.51,180,Polluted,Polluted,8
STN_1738,Madhya Pradesh,Gwalior,Lake,2019,7,32.59,7.06,3.74,846.26,12.7,6.63,7.18,110,Polluted,Polluted,8
STN_1739,Bihar,Samastipur,River,2022,4,16.03,6.55,4.92,828.41,13.9,1.52,5.96,1935,Moderate,Polluted,6
STN_1740,Rajasthan,Alwar,Groundwater,2019,4,34.11,7.73,3.13,358.01,14.41,5.86,15.69,1632,Moderate,Polluted,8
STN_1741,Karnataka,Tumakuru,River,2019,1,20.06,6.65,3.55,964.31,15.39,1.92,36.59,1078,Moderate,Polluted,6
STN_1742,Bihar,Siwan,River,2019,3,15.02,7.67,5.75,935.88,19.08,2.78,6.31,893,Safe,Moderate,4
STN_1743,Karnataka,Hassan,River,2020,2,31.07,8.28,7.83,338.28,14.12,2.5,19.45,1281,Safe,Moderate,4
STN_1744,Uttar Pradesh,Agra,Lake,2023,5,30.4,6.74,4.88,994.99,10.24,5.67,32.77,1019,Moderate,Polluted,8
STN_1745,Uttar Pradesh,Meerut,Lake,2021,3,25.43,7.07,8.41,213.33,9.16,2.17,2.6,608,Safe,Moderate,4
STN_1746,Maharashtra,Thane,Lake,2019,4,30.93,6.73,7.0,1498.82,17.6,6.88,31.47,932,Polluted,Polluted,6
STN_1747,Andhra Pradesh,Kurnool,Lake,2023,4,23.72,7.67,8.13,1123.35,1.05,1.22,9.23,269,Safe,Moderate,3
STN_1748,Karnataka,Shivamogga,Groundwater,2022,10,21.14,6.55,8.1,991.46,6.26,6.49,22.52,1310,Polluted,Polluted,6
STN_1749,Bihar,Saran,Lake,2022,11,20.31,7.46,6.54,334.12,11.59,4.16,34.44,826,Moderate,Polluted,6
STN_1750,Telangana,Karimnagar,Groundwater,2023,1,28.46,7.05,8.88,1061.91,18.33,1.09,5.85,1397,Safe,Moderate,4
STN_1751,Maharashtra,Aurangabad,River,2020,6,27.58,7.25,6.47,997.05,12.3,1.06,22.45,1883,Safe,Moderate,4
STN_1752,Telangana,Nizamabad,River,2022,6,17.39,6.71,8.77,1410.02,5.29,4.97,12.62,815,Moderate,Polluted,6
STN_1753,Maharashtra,Solapur,Lake,2019,6,22.26,8.61,3.48,1248.59,2.32,5.08,27.27,699,Moderate,Polluted,9
STN_1754,Telangana,Adilabad,River,2021,11,16.45,7.37,5.57,1195.41,14.55,9.75,20.35,54,Polluted,Moderate,3
STN_1755,Uttar Pradesh,Ghaziabad,Lake,2022,12,30.45,7.16,8.43,1005.39,6.45,4.94,36.06,313,Moderate,Polluted,6
STN_1756,Andhra Pradesh,Visakhapatnam,Lake,2019,3,16.36,7.37,8.9,718.7,11.0,1.53,24.32,1297,Safe,Moderate,4
STN_1757,Uttar Pradesh,Noida,Lake,2020,4,20.6,8.75,6.98,335.0,19.21,3.47,17.21,1682,Moderate,Polluted,8
STN_1758,Telangana,Khammam,River,2020,11,31.83,8.73,6.82,318.53,11.77,3.19,3.83,1629,Moderate,Polluted,8
STN_1759,Madhya Pradesh,Ujjain,Lake,2021,5,27.41,6.55,3.76,652.87,14.35,2.02,10.57,172,Moderate,Polluted,6
STN_1760,Tamil Nadu,Cuddalore,River,2023,6,27.99,7.95,7.08,274.68,14.32,7.85,12.87,1722,Polluted,Polluted,6
STN_1761,Bihar,Patna,River,2020,11,33.08,6.88,7.23,411.84,8.33,4.3,2.48,1569,Moderate,Polluted,6
STN_1762,Uttar Pradesh,Gorakhpur,River,2023,10,30.68,7.64,5.08,1133.11,11.8,3.69,13.59,1087,Moderate,Polluted,6
STN_1763,Bihar,Gaya,Lake,2023,12,21.58,8.62,6.34,368.37,14.25,7.74,24.56,1461,Polluted,Polluted,8
STN_1764,Uttar Pradesh,Bareilly,River,2020,3,18.16,8.05,6.01,475.24,14.46,7.62,38.54,163,Polluted,Polluted,6
STN_1765,Rajasthan,Bharatpur,River,2019,9,26.74,6.93,3.13,874.03,5.85,3.27,5.0,1495,Moderate,Polluted,8
STN_1766,Karnataka,Davanagere,River,2019,7,20.05,8.45,5.43,1309.54,2.35,4.57,19.8,1417,Moderate,Moderate,5
STN_1767,Bihar,Nalanda,River,2019,3,19.44,7.31,3.66,1436.25,17.25,3.25,28.48,1023,Moderate,Polluted,8
STN_1768,Uttar Pradesh,Aligarh,River,2019,5,27.84,6.6,5.03,1326.04,19.28,4.25,12.96,1709,Moderate,Polluted,6
STN_1769,Bihar,Bhagalpur,Groundwater,2020,2,22.22,7.59,8.46,1437.67,18.56,3.8,11.67,454,Moderate,Polluted,6
STN_1770,Maharashtra,Kolhapur,Groundwater,2022,10,27.63,6.75,7.33,1310.72,8.0,6.25,4.27,1696,Polluted,Polluted,6
STN_1771,West Bengal,Malda,Lake,2023,12,17.79,7.79,5.03,1149.99,6.78,3.53,7.91,348,Moderate,Polluted,6
STN_1772,Tamil Nadu,Chennai,Lake,2023,2,18.75,8.0,8.95,473.62,15.1,6.9,5.28,1857,Polluted,Polluted,6
STN_1773,Tamil Nadu,Coimbatore,Groundwater,2021,10,22.16,6.87,5.59,993.98,19.63,9.21,24.8,1118,Polluted,Polluted,6
STN_1774,Tamil Nadu,Madurai,River,2022,11,25.96,6.92,4.14,1052.18,18.69,3.64,30.78,1959,Moderate,Polluted,8
STN_1775,Telangana,Mahabubnagar,Lake,2020,8,27.35,7.9,7.39,481.95,8.39,2.35,33.06,611,Safe,Moderate,4
STN_1776,Uttar Pradesh,Lucknow,Groundwater,2019,2,28.02,7.3,8.63,1034.27,13.46,2.17,27.88,1237,Safe,Moderate,4
STN_1777,Karnataka,Chitradurga,River,2020,8,16.26,8.02,4.92,359.75,9.95,7.43,2.04,433,Polluted,Polluted,8
STN_1778,Bihar,Muzaffarpur,River,2022,12,24.42,8.7,6.98,908.24,16.73,2.57,24.11,97,Moderate,Moderate,3
STN_1779,Karnataka,Ballari,Lake,2019,2,23.08,8.66,5.24,586.26,11.02,7.9,33.65,1542,Polluted,Polluted,8
STN_1780,Tamil Nadu,Tiruchirappalli,Groundwater,2020,4,31.42,6.7,6.45,1348.96,2.48,8.49,32.56,685,Polluted,Moderate,5
STN_1781,Rajasthan,Sikar,River,2022,12,21.17,6.51,5.62,645.37,18.66,1.12,2.06,389,Safe,Moderate,4
STN_1782,Karnataka,Belagavi,Lake,2021,12,22.93,6.86,8.4,739.87,2.37,6.21,11.49,424,Polluted,Moderate,5
STN_1783,Tamil Nadu,Salem,Groundwater,2019,10,16.25,8.23,3.91,446.52,12.33,4.6,34.78,389,Moderate,Polluted,8
STN_1784,Maharashtra,Amravati,Groundwater,2023,5,31.33,7.07,6.93,537.03,13.13,7.66,32.29,1322,Polluted,Polluted,6
STN_1785,Rajasthan,Chittorgarh,River,2020,5,22.21,6.62,3.09,360.59,12.21,7.95,0.91,798,Polluted,Polluted,8
STN_1786,Tamil Nadu,Erode,River,2023,7,28.5,7.19,6.14,253.74,14.77,4.55,31.4,1626,Moderate,Polluted,6
STN_1787,Tamil Nadu,Tirunelveli,Lake,2021,11,23.6,7.91,8.99,692.3,16.47,3.82,2.23,195,Moderate,Polluted,6
STN_1788,Madhya Pradesh,Sagar,Groundwater,2020,5,16.3,7.76,7.91,1460.44,19.87,9.92,18.01,951,Polluted,Polluted,6
STN_1789,Bihar,Darbhanga,River,2021,4,34.15,7.01,4.12,636.6,10.61,1.74,4.17,470,Moderate,Polluted,6
STN_1790,Uttar Pradesh,Kanpur Nagar,Lake,2022,11,18.7,7.86,3.41,1192.22,11.08,2.8,2.08,265,Moderate,Polluted,6
STN_1791,Rajasthan,Bhilwara,Groundwater,2022,11,21.4,7.09,3.44,436.59,7.93,1.43,13.59,255,Moderate,Polluted,6
STN_1792,Tamil Nadu,Thoothukudi,Groundwater,2023,1,27.97,7.1,3.8,801.2,10.72,6.95,33.4,142,Polluted,Polluted,8
STN_1793,Andhra Pradesh,Anakapalli,Lake,2019,3,16.71,7.87,7.76,343.12,4.86,6.28,41.25,1774,Polluted,Moderate,5
STN_1794,Telangana,Hyderabad,Lake,2021,9,29.16,8.52,4.32,414.96,4.51,7.14,27.69,805,Polluted,Polluted,9
STN_1795,Rajasthan,Pali,Lake,2020,5,27.07,6.93,3.3,1418.28,5.6,6.36,42.56,826,Polluted,Polluted,8
STN_1796,Bihar,Purnia,River,2020,1,27.78,8.34,4.67,621.0,7.21,8.56,7.64,1884,Polluted,Polluted,8
STN_1797,Bihar,Araria,Lake,2020,4,26.88,8.06,8.47,1252.06,15.78,9.2,31.87,1898,Polluted,Polluted,6
STN_1798,Tamil Nadu,Vellore,River,2022,5,18.05,8.67,8.09,1196.8,2.23,9.7,8.8,1144,Polluted,Polluted,7
STN_1799,Bihar,Begusarai,Lake,2019,11,17.32,6.6,4.47,1024.67,16.06,9.99,38.96,149,Polluted,Polluted,8
STN_1800,Madhya Pradesh,Rewa,Groundwater,2022,10,24.04,6.82,8.65,982.48,10.91,8.7,10.21,1289,Polluted,Polluted,6
STN_1801,Madhya Pradesh,Satna,River,2023,10,27.84,8.37,4.38,1297.26,12.56,7.98,1.12,731,Polluted,Polluted,8
STN_1802,Andhra Pradesh,Kakinada,Groundwater,2020,4,26.05,7.56,3.83,403.86,18.07,9.92,19.22,1798,Polluted,Polluted,8
STN_1803,Andhra Pradesh,East Godavari,Lake,2019,4,21.04,7.42,7.45,706.69,1.2,8.78,12.58,1056,Polluted,Moderate,5
STN_1804,Telangana,Rangareddy,Groundwater,2020,8,20.62,8.07,5.69,721.07,15.18,6.43,40.64,975,Polluted,Polluted,6
STN_1805,Uttar Pradesh,Kanpur Dehat,Lake,2022,1,34.39,8.39,5.55,391.87,10.35,8.81,38.51,1040,Polluted,Polluted,6
STN_1806,Maharashtra,Satara,Lake,2023,9,20.83,7.89,4.14,883.81,13.88,3.62,27.06,131,Moderate,Polluted,8
STN_1807,West Bengal,Jalpaiguri,Groundwater,2023,11,27.48,8.75,8.03,1325.67,4.0,4.3,28.04,981,Moderate,Polluted,7
STN_1808,Rajasthan,Jaipur,Groundwater,2020,3,32.26,8.57,8.28,528.8,19.9,6.23,6.54,1196,Polluted,Polluted,8
STN_1809,Bihar,Samastipur,Groundwater,2020,6,24.0,7.64,7.49,627.21,6.29,5.88,37.0,1274,Moderate,Polluted,6
STN_1810,Madhya Pradesh,Chhindwara,Lake,2019,6,18.14,8.55,7.1,475.32,2.61,8.44,34.37,1076,Polluted,Polluted,7
STN_1811,Madhya Pradesh,Khandwa,River,2021,3,21.32,7.4,5.42,240.46,4.46,3.41,44.77,1803,Moderate,Moderate,5
STN_1812,Rajasthan,Jodhpur,Lake,2019,1,17.36,8.66,7.38,1112.45,7.32,3.11,14.98,902,Moderate,Polluted,8
STN_1813,Maharashtra,Jalgaon,Groundwater,2020,10,21.71,7.42,5.97,351.5,2.75,9.9,36.21,1781,Polluted,Moderate,5
STN_1814,Uttar Pradesh,Varanasi,Lake,2019,10,32.86,8.59,3.77,1372.27,14.36,8.77,9.9,200,Polluted,Polluted,10
STN_1815,Maharashtra,Mumbai City,Groundwater,2021,8,28.12,8.72,4.07,706.0,3.96,8.76,8.12,1078,Polluted,Polluted,9
STN_1816,Maharashtra,Mumbai Suburban,Groundwater,2020,5,28.93,7.93,8.06,255.73,2.74,2.76,29.94,1154,Safe,Moderate,3
STN_1817,West Bengal,Darjeeling,Lake,2022,11,17.16,7.46,4.05,549.13,16.73,2.2,6.09,1089,Moderate,Polluted,6
STN_1818,Andhra Pradesh,West Godavari,Groundwater,2019,11,23.82,8.55,5.79,1340.75,3.27,9.77,27.6,377,Polluted,Polluted,7
STN_1819,Madhya Pradesh,Ratlam,Groundwater,2022,10,18.24,7.44,5.73,973.71,4.85,8.27,41.89,1067,Polluted,Moderate,5
STN_1820,Madhya Pradesh,Dewas,Lake,2020,4,20.9,8.28,6.85,1391.7,3.79,2.06,32.78,1608,Safe,Moderate,3
STN_1821,Telangana,Medchal–Malkajgiri,River,2020,5,28.95,8.29,6.07,677.02,17.14,3.43,44.81,55,Moderate,Moderate,3
STN_1822,Tamil Nadu,Dindigul,River,2022,11,33.94,8.77,4.77,605.89,9.36,8.85,38.92,35,Polluted,Polluted,7
STN_1823,Uttar Pradesh,Prayagraj,River,2019,6,23.49,7.93,3.72,1134.12,13.81,1.08,24.61,752,Moderate,Polluted,6
STN_1824,Karnataka,Dharwad,Lake,2023,11,32.05,7.38,6.03,912.21,8.59,3.08,31.47,1848,Moderate,Polluted,6
STN_1825,Karnataka,Bengaluru Urban,River,2022,2,27.46,8.54,5.25,362.57,2.04,3.65,4.14,1349,Moderate,Polluted,7
STN_1826,Telangana,Warangal,Lake,2021,6,24.14,7.06,8.06,1478.62,4.16,2.24,27.02,1054,Safe,Moderate,3
STN_1827,Madhya Pradesh,Bhopal,Lake,2019,4,33.49,7.09,3.4,1405.39,4.03,9.95,8.56,669,Polluted,Polluted,7
STN_1828,Telangana,Hanamkonda,Lake,2019,11,25.22,7.44,5.91,1110.0,8.25,6.02,19.18,1321,Polluted,Polluted,6
STN_1829,Karnataka,Bengaluru Rural,River,2022,2,20.99,6.53,4.41,409.34,9.6,3.05,9.51,1499,Moderate,Polluted,8
STN_1830,Karnataka,Mysuru,Groundwater,2022,6,24.81,7.28,3.9,287.3,18.6,1.0,15.49,218,Moderate,Polluted,6
